Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.0552744,5.222222222222222
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343855,1.4545454545454546
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288,3.4615384615384617
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.5804041,1.6
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046,3.7333333333333334
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515261,1.9090909090909092
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.9735688,3.7142857142857144
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.053128,3.5217391304347827
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.3441798,3.08
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.3017092,4.5
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.4921215,2.176470588235294
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.1150237,1.3333333333333333
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621143,2.264705882352941
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577543,11.0
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.2404996,1.9743589743589745
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104,2.1875
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703,1.263157894736842
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.4926184,3.388888888888889
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451308,3.380952380952381
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.4664425,13.571428571428571
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.1453451,1.7272727272727273
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681265,2.4615384615384617
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608869,1.6333333333333333
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568748,2.235294117647059
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.3570025,2.6285714285714286
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951,1.3793103448275863
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.0383299,1.3095238095238095
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.2629551,1.7058823529411764
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369765,6.8
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024751,1.4893617021276595
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.0906902,2.125
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576533,1.5714285714285714
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709,3.125
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.23448,1.7894736842105263
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.5277288,2.6666666666666665
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.7592754,3.7142857142857144
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.1074735,1.9285714285714286
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.696213,1.4285714285714286
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961,3.3684210526315788
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026,2.5
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062,1.7142857142857142
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.1158059,2.125
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418775,2.09375
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.1690694,4.043478260869565
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003273,1.9607843137254901
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.9628407,1.5909090909090908
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001,2.769230769230769
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.112701,1.5555555555555556
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389,2.3333333333333335
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923,1.7333333333333334
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.633356,4.619047619047619
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572086,1.7333333333333334
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523524,1.625
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891065,1.3541666666666667
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016247,3.142857142857143
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273,6.3076923076923075
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024,1.625
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784,6.833333333333333
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928861,2.361111111111111
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133395,2.6923076923076925
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.1793412,2.8620689655172415
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.2145833,2.935483870967742
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.8569895,1.5714285714285714
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351909,8.0
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.5392948,1.673913043478261
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.9355593,1.1375
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485036,2.2142857142857144
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.557234,4.555555555555555
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147646,1.3863636363636365
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411,8.3
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096,2.6818181818181817
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.0447303,1.3548387096774193
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793,5.0625
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.6583147,3.789473684210526
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476,4.777777777777778
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.36208132,2.242424242424242
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093,1.511111111111111
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569,2.769230769230769
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576216,10.2
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524,2.739130434782609
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334,3.310344827586207
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341,1.5932203389830508
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.0663629,2.3125
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381,7.0
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.12824,5.75
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.9229249,2.55
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305,2.6470588235294117
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527,2.7058823529411766
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486,1.9166666666666667
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454569,4.0
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872,1.6538461538461537
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.0505481,1.7916666666666667
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.8683562,1.7941176470588236
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420493,1.3888888888888888
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474,2.1470588235294117
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935712,10.857142857142858
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403,2.1219512195121952
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505747,1.606060606060606
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.3029746,8.875
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193,6.4
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578,3.033333333333333
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.9735753,1.2702702702702702
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669926,1.7692307692307692
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.6294341,2.85
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435329,2.823529411764706
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803,4.4
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549,3.1578947368421053
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.3118381,2.238095238095238
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.7614397,7.166666666666667
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771353,5.388888888888889
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276,2.764705882352941
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624376,1.3928571428571428
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.3248065,1.2820512820512822
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.0371127,2.0588235294117645
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016916,3.5
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607017,1.59375
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547931,4.5
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.3854879,6.5
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047,2.3461538461538463
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250632,5.111111111111111
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067,1.46
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796321,1.7551020408163265
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769494,10.714285714285714
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073065,1.3448275862068966
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208,5.5
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515,1.3793103448275863
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535,1.542857142857143
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513,2.0384615384615383
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659,2.3823529411764706
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.6197724,2.25
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.7965248,2.2222222222222223
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601649,2.1363636363636362
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294,1.8333333333333333
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714,1.368421052631579
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.3724051,2.1666666666666665
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699,2.9523809523809526
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232,1.423728813559322
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247149,6.125
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185,1.5454545454545454
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.635369,1.6333333333333333
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000601,1.66
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380337,17.6
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.684865,1.267605633802817
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.4039268,13.0
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.3960711,2.607142857142857
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.6623042,1.3709677419354838
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425367,2.4074074074074074
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.836381,1.7619047619047619
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586,5.857142857142857
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134584,3.4347826086956523
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981,7.571428571428571
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809448,2.5
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.6526416,1.325
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661,1.565217391304348
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258269,1.52
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.6404792,1.4444444444444444
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689,1.421875
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.3593007,17.4
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.2719657,4.8
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485544,1.4067796610169492
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.5695408,2.0869565217391304
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506,3.4210526315789473
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855257,2.7241379310344827
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.3651376,4.545454545454546
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181946,1.1587301587301588
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363001,1.1791044776119404
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.6069186,1.6
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.801051,2.235294117647059
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695625,1.6333333333333333
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.504076,1.5625
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.6832395,3.3461538461538463
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275102,4.4
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.44289065,1.9090909090909092
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.4249153,1.631578947368421
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929391,1.8666666666666667
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.746701,13.857142857142858
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543,4.0
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834277,1.8918918918918919
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931,6.5
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992,3.5714285714285716
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.519012,2.6666666666666665
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508,2.4864864864864864
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284013,1.303030303030303
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111,4.173913043478261
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.985521,1.9130434782608696
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.2821971,1.930232558139535
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.954763,1.7241379310344827
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934492,1.2933333333333332
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162,3.5
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662,1.7
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483155,2.566666666666667
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359,1.2238805970149254
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963495,2.625
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.6219494,3.125
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.4105313,6.777777777777778
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453021,6.923076923076923
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118,4.761904761904762
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245755,3.0
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.9977391,6.571428571428571
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306,5.083333333333333
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972,4.416666666666667
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.4694924,2.619047619047619
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501,1.2666666666666666
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122299,4.25
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.100076,4.545454545454546
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633,1.5909090909090908
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429,3.0714285714285716
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391325,2.0
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976878,2.8947368421052633
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.9131413,1.3880597014925373
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093622,1.3623188405797102
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.089112,1.1666666666666667
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116,1.44
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.8156288,4.111111111111111
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948,1.4782608695652173
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.6434979,5.133333333333334
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.946428,2.25
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.342709,1.6071428571428572
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192642,2.0
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.2030658,1.2
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837978,13.333333333333334
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027601,2.5806451612903225
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.6101943,2.56
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373,1.3571428571428572
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803273,7.428571428571429
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474983,1.2321428571428572
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369,1.2407407407407407
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.2158433,3.5714285714285716
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520701,2.2857142857142856
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.0533307,12.166666666666666
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378,4.0
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987,2.642857142857143
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985127,4.5
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721334,2.090909090909091
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532,5.25
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.7545389,1.8974358974358974
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514566,2.2666666666666666
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651643,6.555555555555555
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546415,1.1866666666666668
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421,2.3142857142857145
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.8375505,4.125
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033,2.6785714285714284
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541299,1.8125
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.584838,1.5135135135135136
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377,2.34375
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407114,1.8333333333333333
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925319,2.0625
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.0511403,1.4642857142857142
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.913416,2.8947368421052633
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.4216603,1.8235294117647058
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626811,1.542857142857143
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263612,1.7
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571,4.777777777777778
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210117,3.1481481481481484
